Gesture ID,Participant ID,Label,Timestep,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z
1,P01,Hai,1,"-8,67898","4,35266","-2,65756","0,11938","0,32375","0,21051"
1,P01,Hai,2,"-9,21528","4,7908","-2,86586","0,02425","0,43407","0,25261"
1,P01,Hai,3,"-9,3326","4,86023","-3,29442","-0,02292","0,45565","0,34027"
1,P01,Hai,4,"-9,62469","5,05655","-3,68228","0,06475","0,18386","0,50628"
1,P01,Hai,5,"-9,23683","5,33668","-3,08613","0,14016","-0,2987","0,65843"
1,P01,Hai,6,"-8,54012","5,20978","-3,07655","0,18066","-0,58622","0,83589"
1,P01,Hai,7,"-9,23922","5,54497","-4,51307","0,14336","-0,70613","0,81857"
1,P01,Hai,8,"-8,40604","5,79397","-3,29682","0,37145","-2,39763","0,87027"
1,P01,Hai,9,"-8,19056","6,02142","-2,53067","0,31309","-2,77974","0,99071"
1,P01,Hai,10,"-8,51618","6,33985","-2,79643","0,00213","-2,5274","1,0869"
1,P01,Hai,11,"-7,95114","6,29436","-3,39737","-0,20278","-2,87486","1,1735"
1,P01,Hai,12,"-7,28795","6,30393","-2,62405","-0,52973","-3,35929","1,35283"
1,P01,Hai,13,"-7,46273","6,19859","-2,67193","-1,52257","-3,03474","1,5279"
1,P01,Hai,14,"-6,72292","4,45322","-4,09169","-2,53166","-2,76295","1,70403"
1,P01,Hai,15,"-4,12521","2,51631","-1,55863","-3,86904","-2,19805","2,08747"
1,P01,Hai,16,"-1,60651","0,26815","0,95768","-5,24345","-1,58705","2,41362"
1,P01,Hai,17,"-1,48441","-0,69192","5,26485","-5,54322","-1,91","2,41442"
1,P01,Hai,18,"0,59376","-0,62728","12,98854","-4,85974","-2,1738","2,08214"
1,P01,Hai,19,"2,61926","-1,06303","20,67154","-3,10242","-1,04986","1,62729"
1,P01,Hai,20,"3,93367","-0,22984","23,04898","-0,67149","-0,11085","0,95553"
1,P01,Hai,21,"2,9329","0,7829","19,9844","2,38191","0,54545","-0,14496"
1,P01,Hai,22,"0,34955","0,46208","13,69962","4,37718","1,07677","-1,38774"
1,P01,Hai,23,"-0,2466","-1,38624","7,74524","5,73187","1,46368","-2,19618"
1,P01,Hai,24,"-0,91698","-1,77889","2,73657","6,53766","2,07015","-2,61373"
1,P01,Hai,25,"-3,03106","-0,52912","0,21069","7,04953","2,02352","-2,7824"
1,P01,Hai,26,"-7,73567","2,69348","-2,04704","6,80412","1,79489","-2,91217"
1,P01,Hai,27,"-10,38126","4,44843","-6,68461","5,85125","1,39546","-2,68168"
1,P01,Hai,28,"-13,15614","5,20739","-14,25029","4,44646","0,21583","-1,473"
1,P01,Hai,29,"-15,41148","6,26563","-15,52161","2,27079","-0,41755","0,16867"
1,P01,Hai,30,"-11,99974","6,82587","-14,37958","-1,83113","0,71066","1,55081"
1,P01,Hai,31,"-7,8434","3,71101","-12,04523","-4,58928","0,81138","1,64301"
1,P01,Hai,32,"-4,5418","0,50757","-7,77637","-6,50142","-1,55134","1,45169"
1,P01,Hai,33,"-1,66876","-2,6408","-2,48518","-7,24938","-2,97905","1,90894"
1,P01,Hai,34,"0,62968","-4,69503","2,48997","-7,6099","-3,27402","2,33981"
1,P01,Hai,35,"0,70629","-3,81875","10,38605","-7,01995","-2,61719","2,66756"
1,P01,Hai,36,"3,11964","-2,52109","18,1696","-5,38014","-1,8735","2,36299"
1,P01,Hai,37,"4,30477","-0,66319","25,43361","-3,19382","-1,17057","1,74879"
1,P01,Hai,38,"4,09648","0,36631","25,30911","-0,16228","0,18732","0,83882"
1,P01,Hai,39,"2,81079","0,78051","21,11207","2,78986","0,97312","-0,71145"
1,P01,Hai,40,"0,19154","-0,40941","14,50407","4,76302","1,2228","-2,02165"
1,P01,Hai,41,"-0,38068","-2,00395","7,57286","6,19472","1,09489","-2,77601"
1,P01,Hai,42,"-1,32878","-2,54743","2,65517","6,93788","1,26436","-3,02462"
1,P01,Hai,43,"-2,61207","-1,44849","-0,87628","7,48626","0,06102","-3,26949"
1,P01,Hai,44,"-7,12754","0,42138","-2,85149","6,80385","1,20521","-3,36968"
1,P01,Hai,45,"-11,07079","4,08211","-7,99185","5,55255","1,05333","-3,16424"
1,P01,Hai,46,"-12,83053","4,20182","-13,44823","4,38411","0,0064","-2,30117"
1,P01,Hai,47,"-16,29015","5,782","-16,11777","1,7829","-0,00346","-0,56117"
1,P01,Hai,48,"-12,6749","7,25922","-14,73392","-2,35579","0,98298","1,32938"
1,P01,Hai,49,"-9,09557","4,92966","-7,45315","-3,97562","-1,24545","2,05975"
1,P01,Hai,50,"-7,03416","2,77249","-7,77637","-6,41482","1,33711","2,11891"
1,P01,Hai,51,"-3,84509","-1,42934","-1,39821","-6,80305","-1,71868","1,75412"
1,P01,Hai,52,"-1,97522","-3,14119","-0,63925","-7,63442","-1,27822","2,17087"
1,P01,Hai,53,"-0,80685","-3,33991","6,98628","-7,134","-2,00726","2,37951"
1,P01,Hai,54,"-0,38307","-3,41174","13,27824","-6,3061","-1,71655","2,46265"
1,P01,Hai,55,"1,05345","-2,02789","19,18234","-4,83549","-0,79299","2,42801"
1,P01,Hai,56,"1,99916","-1,65439","24,34185","-2,47357","-0,81937","1,82687"
1,P01,Hai,57,"2,92811","-0,23942","25,1056","0,63924","-0,33468","0,47111"
1,P01,Hai,58,"1,90339","0,15802","19,06503","3,28761","0,36052","-1,02055"
